Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Waveform 1	1	13.908250003	13.950158104	0.000	8000.000	0.0419	8000.000		cl1
1	Spectrogram 1	1	13.908250003	13.950158104	0.000	8000.000	0.0419	8000.000	-65.12	cl1
2	Waveform 1	1	63.281227367	63.532675976	0.000	8000.000	0.2514	8000.000		-h1
2	Spectrogram 1	1	63.281227367	63.532675976	0.000	8000.000	0.2514	8000.000	-80.42	-h1
3	Waveform 1	1	79.549427041	79.599192911	0.000	8000.000	0.0498	8000.000		-cl2
3	Spectrogram 1	1	79.549427041	79.599192911	0.000	8000.000	0.0498	8000.000	-73.59	-cl2
4	Waveform 1	1	81.246705151	81.285993996	0.000	8000.000	0.0393	8000.000		-cl3
4	Spectrogram 1	1	81.246705151	81.285993996	0.000	8000.000	0.0393	8000.000	-68.60	-cl3
5	Waveform 1	1	81.728648318	81.778414188	0.000	8000.000	0.0498	8000.000		-cl4
5	Spectrogram 1	1	81.728648318	81.778414188	0.000	8000.000	0.0498	8000.000	-63.68	-cl4
6	Waveform 1	1	105.941051597	105.985578954	0.000	8000.000	0.0445	8000.000		-cl5
6	Spectrogram 1	1	105.941051597	105.985578954	0.000	8000.000	0.0445	8000.000	-79.66	-cl5
7	Waveform 1	1	106.477999147	106.525145761	0.000	8000.000	0.0471	8000.000		cl6
7	Spectrogram 1	1	106.477999147	106.525145761	0.000	8000.000	0.0471	8000.000	-66.12	cl6
8	Waveform 1	1	107.449743250	107.496889864	0.000	8000.000	0.0471	8000.000		-cl7
8	Spectrogram 1	1	107.449743250	107.496889864	0.000	8000.000	0.0471	8000.000	-80.72	-cl7
9	Waveform 1	1	108.156942462	108.193612051	0.000	8000.000	0.0367	8000.000		cl8
9	Spectrogram 1	1	108.156942462	108.193612051	0.000	8000.000	0.0367	8000.000	-73.00	cl8
10	Waveform 1	1	108.837949111	109.401089225	0.000	8000.000	0.5631	8000.000		-mo1
10	Spectrogram 1	1	108.837949111	109.401089225	0.000	8000.000	0.5631	8000.000	-82.73	-mo1
11	Waveform 1	1	109.655157090	109.979944877	0.000	8000.000	0.3248	8000.000		-mo2
11	Spectrogram 1	1	109.655157090	109.979944877	0.000	8000.000	0.3248	8000.000	-76.43	-mo2
12	Waveform 1	1	121.515148385	121.934229400	0.000	8000.000	0.4191	8000.000		pu1
12	Spectrogram 1	1	121.515148385	121.934229400	0.000	8000.000	0.4191	8000.000	-79.60	pu1
13	Waveform 1	1	145.947569197	146.387604262	0.000	8000.000	0.4400	8000.000		pu2
13	Spectrogram 1	1	145.947569197	146.387604262	0.000	8000.000	0.4400	8000.000	-79.84	pu2
14	Waveform 1	1	150.190763838	150.222194915	0.000	8000.000	0.0314	8000.000		l1
14	Spectrogram 1	1	150.190763838	150.222194915	0.000	8000.000	0.0314	8000.000	-67.10	l1
15	Waveform 1	1	150.313868887	150.353157732	0.000	8000.000	0.0393	8000.000		l2
15	Spectrogram 1	1	150.313868887	150.353157732	0.000	8000.000	0.0393	8000.000	-70.76	l2
16	Waveform 1	1	150.468405011	150.520790138	0.000	8000.000	0.0524	8000.000		l3
16	Spectrogram 1	1	150.468405011	150.520790138	0.000	8000.000	0.0524	8000.000	-67.75	l3
17	Waveform 1	1	150.664849236	150.714615107	0.000	8000.000	0.0498	8000.000		l4
17	Spectrogram 1	1	150.664849236	150.714615107	0.000	8000.000	0.0498	8000.000	-72.38	l4
18	Waveform 1	1	154.059402488	154.433956145	0.000	8000.000	0.3746	8000.000		pu3
18	Spectrogram 1	1	154.059402488	154.433956145	0.000	8000.000	0.3746	8000.000	-82.17	pu3
19	Waveform 1	1	154.724693599	155.067816180	0.000	8000.000	0.3431	8000.000		pu4
19	Spectrogram 1	1	154.724693599	155.067816180	0.000	8000.000	0.3431	8000.000	-78.83	pu4
20	Waveform 1	1	155.332361070	155.513089758	0.000	8000.000	0.1807	8000.000		pu5
20	Spectrogram 1	1	155.332361070	155.513089758	0.000	8000.000	0.1807	8000.000	-80.27	pu5
21	Waveform 1	1	155.586428935	155.866689364	0.000	8000.000	0.2803	8000.000		pu6
21	Spectrogram 1	1	155.586428935	155.866689364	0.000	8000.000	0.2803	8000.000	-77.77	pu6
22	Waveform 1	1	156.008129207	156.167903843	0.000	8000.000	0.1598	8000.000		pu7
22	Spectrogram 1	1	156.008129207	156.167903843	0.000	8000.000	0.1598	8000.000	-78.37	pu7
23	Waveform 1	1	156.241237031	156.366961336	0.000	8000.000	0.1257	8000.000		pu8
23	Spectrogram 1	1	156.241237031	156.366961336	0.000	8000.000	0.1257	8000.000	-80.02	pu8
24	Waveform 1	1	156.463873820	156.704845404	0.000	8000.000	0.2410	8000.000		pu9
24	Spectrogram 1	1	156.463873820	156.704845404	0.000	8000.000	0.2410	8000.000	-77.47	pu9
25	Waveform 1	1	156.801757888	156.943197731	0.000	8000.000	0.1414	8000.000		pu10
25	Spectrogram 1	1	156.801757888	156.943197731	0.000	8000.000	0.1414	8000.000	-77.33	pu10
26	Waveform 1	1	157.047967985	157.330847670	0.000	8000.000	0.2829	8000.000		pu11
26	Spectrogram 1	1	157.047967985	157.330847670	0.000	8000.000	0.2829	8000.000	-77.15	pu11
27	Waveform 1	1	157.566580740	157.948992166	0.000	8000.000	0.3824	8000.000		pu12
27	Spectrogram 1	1	157.566580740	157.948992166	0.000	8000.000	0.3824	8000.000	-80.83	pu12
28	Waveform 1	1	158.145429323	158.310442473	0.000	8000.000	0.1650	8000.000		pu13
28	Spectrogram 1	1	158.145429323	158.310442473	0.000	8000.000	0.1650	8000.000	-80.13	pu13
29	Waveform 1	1	158.593322158	158.679757617	0.000	8000.000	0.0864	8000.000		pu14
29	Spectrogram 1	1	158.593322158	158.679757617	0.000	8000.000	0.0864	8000.000	-86.12	pu14
30	Waveform 1	1	158.766193076	159.423626418	0.000	8000.000	0.6574	8000.000		pu15
30	Spectrogram 1	1	158.766193076	159.423626418	0.000	8000.000	0.6574	8000.000	-82.43	pu15
31	Waveform 1	1	159.769368256	159.892473304	0.000	8000.000	0.1231	8000.000		pu16
31	Spectrogram 1	1	159.769368256	159.892473304	0.000	8000.000	0.1231	8000.000	-77.66	pu16
32	Waveform 1	1	160.269646217	160.638961361	0.000	8000.000	0.3693	8000.000		pu17
32	Spectrogram 1	1	160.269646217	160.638961361	0.000	8000.000	0.3693	8000.000	-80.15	pu17
33	Waveform 1	1	160.895648483	161.469265622	0.000	8000.000	0.5736	8000.000		pu18
33	Spectrogram 1	1	160.895648483	161.469265622	0.000	8000.000	0.5736	8000.000	-79.35	pu18
34	Waveform 1	1	161.694521667	162.642692463	0.000	8000.000	0.9482	8000.000		pu19
34	Spectrogram 1	1	161.694521667	162.642692463	0.000	8000.000	0.9482	8000.000	-77.30	pu19
35	Waveform 1	1	162.205276654	162.252423268	0.000	8000.000	0.0471	8000.000		cl9
35	Spectrogram 1	1	162.205276654	162.252423268	0.000	8000.000	0.0471	8000.000	-73.90	cl9
36	Waveform 1	1	163.177011280	163.226777150	0.000	8000.000	0.0498	8000.000		cl10
36	Spectrogram 1	1	163.177011280	163.226777150	0.000	8000.000	0.0498	8000.000	-74.20	cl10
37	Waveform 1	1	163.224157894	163.538468655	0.000	8000.000	0.3143	8000.000		pu20
37	Spectrogram 1	1	163.224157894	163.538468655	0.000	8000.000	0.3143	8000.000	-81.53	pu20
38	Waveform 1	1	164.546882347	164.698799215	0.000	8000.000	0.1519	8000.000		pu21
38	Spectrogram 1	1	164.546882347	164.698799215	0.000	8000.000	0.1519	8000.000	-76.91	pu21
39	Waveform 1	1	165.657449091	165.840797035	0.000	8000.000	0.1833	8000.000		pu22
39	Spectrogram 1	1	165.657449091	165.840797035	0.000	8000.000	0.1833	8000.000	-84.33	pu22
40	Waveform 1	1	169.431797187	170.225431859	0.000	8000.000	0.7936	8000.000		pu23
40	Spectrogram 1	1	169.431797187	170.225431859	0.000	8000.000	0.7936	8000.000	-80.57	pu23
41	Waveform 1	1	170.704747974	171.178833372	0.000	8000.000	0.4741	8000.000		pu24
41	Spectrogram 1	1	170.704747974	171.178833372	0.000	8000.000	0.4741	8000.000	-81.55	pu24
42	Waveform 1	1	171.807454894	172.244870703	0.000	8000.000	0.4374	8000.000		pu25
42	Spectrogram 1	1	171.807454894	172.244870703	0.000	8000.000	0.4374	8000.000	-81.73	pu25
43	Waveform 1	1	172.842055238	173.187797075	0.000	8000.000	0.3457	8000.000		pu26
43	Spectrogram 1	1	172.842055238	173.187797075	0.000	8000.000	0.3457	8000.000	-80.63	pu26
44	Waveform 1	1	188.939997421	189.167872723	0.000	8000.000	0.2279	8000.000		pu27
44	Spectrogram 1	1	188.939997421	189.167872723	0.000	8000.000	0.2279	8000.000	-84.76	pu27
45	Waveform 1	1	205.860391924	206.007070279	0.000	8000.000	0.1467	8000.000		-hu1
45	Spectrogram 1	1	205.860391924	206.007070279	0.000	8000.000	0.1467	8000.000	-81.56	-hu1
46	Waveform 1	1	206.614734121	206.769270245	0.000	8000.000	0.1545	8000.000		h2
46	Spectrogram 1	1	206.614734121	206.769270245	0.000	8000.000	0.1545	8000.000	-74.51	h2
47	Waveform 1	1	240.088831269	240.424096081	0.000	8000.000	0.3353	8000.000		pu28
47	Spectrogram 1	1	240.088831269	240.424096081	0.000	8000.000	0.3353	8000.000	-77.21	pu28
48	Waveform 1	1	241.131295293	241.487514156	0.000	8000.000	0.3562	8000.000		pu29
48	Spectrogram 1	1	241.131295293	241.487514156	0.000	8000.000	0.3562	8000.000	-64.13	pu29
49	Waveform 1	1	242.726422112	242.954297413	0.000	8000.000	0.2279	8000.000		pu30
49	Spectrogram 1	1	242.726422112	242.954297413	0.000	8000.000	0.2279	8000.000	-84.87	pu30
50	Waveform 1	1	243.931280029	244.292737405	0.000	8000.000	0.3615	8000.000		pu31
50	Spectrogram 1	1	243.931280029	244.292737405	0.000	8000.000	0.3615	8000.000	-78.42	pu31
51	Waveform 1	1	245.256623739	245.447829452	0.000	8000.000	0.1912	8000.000		pu32
51	Spectrogram 1	1	245.256623739	245.447829452	0.000	8000.000	0.1912	8000.000	-79.75	pu32
52	Waveform 1	1	249.523391752	249.583634648	0.000	8000.000	0.0602	8000.000		l5
52	Spectrogram 1	1	249.523391752	249.583634648	0.000	8000.000	0.0602	8000.000	-76.50	l5
53	Waveform 1	1	252.766030810	252.928424703	0.000	8000.000	0.1624	8000.000		pu33
53	Spectrogram 1	1	252.766030810	252.928424703	0.000	8000.000	0.1624	8000.000	-81.75	pu33
54	Waveform 1	1	253.879214755	254.135901877	0.000	8000.000	0.2567	8000.000		pu34
54	Spectrogram 1	1	253.879214755	254.135901877	0.000	8000.000	0.2567	8000.000	-80.16	pu34
55	Waveform 1	1	254.898105473	255.139077056	0.000	8000.000	0.2410	8000.000		pu35
55	Spectrogram 1	1	254.898105473	255.139077056	0.000	8000.000	0.2410	8000.000	-83.94	pu35
56	Waveform 1	1	259.858976238	260.204718076	0.000	8000.000	0.3457	8000.000		-h3
