Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Waveform 1	1	362.501631996	363.104307511	0.000	11025.000	0.6027	11025.000		-mo1
1	Spectrogram 1	1	362.501631996	363.104307511	0.000	11025.000	0.6027	11025.000	-75.92	-mo1
2	Waveform 1	1	368.929150382	369.531825897	0.000	11025.000	0.6027	11025.000		-mo2
2	Spectrogram 1	1	368.929150382	369.531825897	0.000	11025.000	0.6027	11025.000	-73.06	-mo2
3	Waveform 1	1	397.346674337	397.976883252	0.000	11025.000	0.6302	11025.000		-mo3
3	Spectrogram 1	1	397.346674337	397.976883252	0.000	11025.000	0.6302	11025.000	-78.75	-mo3
4	Waveform 1	1	1347.686317916	1347.744443981	0.000	11025.000	0.0581	11025.000		pc1
4	Spectrogram 1	1	1347.686317916	1347.744443981	0.000	11025.000	0.0581	11025.000	-73.38	pc1
5	Waveform 1	1	1347.973888974	1348.441956760	0.000	11025.000	0.4681	11025.000		w1
5	Spectrogram 1	1	1347.973888974	1348.441956760	0.000	11025.000	0.4681	11025.000	-33.53	w1
6	Waveform 1	1	1622.943800843	1622.995808375	0.000	11025.000	0.0520	11025.000		pc2
6	Spectrogram 1	1	1622.943800843	1622.995808375	0.000	11025.000	0.0520	11025.000	-76.14	pc2
7	Waveform 1	1	1623.124297571	1623.696380420	0.000	11025.000	0.5721	11025.000		w2
7	Spectrogram 1	1	1623.124297571	1623.696380420	0.000	11025.000	0.5721	11025.000	-32.66	w2
8	Waveform 1	1	1628.995029783	1629.056215115	0.000	11025.000	0.0612	11025.000		pc3
8	Spectrogram 1	1	1628.995029783	1629.056215115	0.000	11025.000	0.0612	11025.000	-57.33	pc3
9	Waveform 1	1	1629.245889642	1629.723135228	0.000	11025.000	0.4772	11025.000		w3
9	Spectrogram 1	1	1629.245889642	1629.723135228	0.000	11025.000	0.4772	11025.000	-36.81	w3
10	Waveform 1	1	1653.328433765	1653.374322763	0.000	11025.000	0.0459	11025.000		pc4
10	Spectrogram 1	1	1653.328433765	1653.374322763	0.000	11025.000	0.0459	11025.000	-72.61	pc4
11	Waveform 1	1	1653.484456017	1653.918871870	0.000	11025.000	0.4344	11025.000		w4
11	Spectrogram 1	1	1653.484456017	1653.918871870	0.000	11025.000	0.4344	11025.000	-35.59	w4
12	Waveform 1	1	1779.079573617	1779.131581149	0.000	11025.000	0.0520	11025.000		pc5
12	Spectrogram 1	1	1779.079573617	1779.131581149	0.000	11025.000	0.0520	11025.000	-71.73	pc5
13	Waveform 1	1	1779.278425945	1779.654715733	0.000	11025.000	0.3763	11025.000		w5
13	Spectrogram 1	1	1779.278425945	1779.654715733	0.000	11025.000	0.3763	11025.000	-31.07	w5
14	Waveform 1	1	1829.224007228	1829.263777694	0.000	11025.000	0.0398	11025.000		pc6
14	Spectrogram 1	1	1829.224007228	1829.263777694	0.000	11025.000	0.0398	11025.000	-66.45	pc6
15	Waveform 1	1	1829.425918822	1829.857275409	0.000	11025.000	0.4314	11025.000		w6
15	Spectrogram 1	1	1829.425918822	1829.857275409	0.000	11025.000	0.4314	11025.000	-47.02	w6
16	Waveform 1	1	1847.604079089	1847.656086621	0.000	11025.000	0.0520	11025.000		pc7
16	Spectrogram 1	1	1847.604079089	1847.656086621	0.000	11025.000	0.0520	11025.000	-69.00	pc7
17	Waveform 1	1	1847.798342517	1848.192987905	0.000	11025.000	0.3946	11025.000		hw1
17	Spectrogram 1	1	1847.798342517	1848.192987905	0.000	11025.000	0.3946	11025.000	-55.24	hw1
18	Waveform 1	1	1881.480863381	1881.786790038	0.000	11025.000	0.3059	11025.000		w7
18	Spectrogram 1	1	1881.480863381	1881.786790038	0.000	11025.000	0.3059	11025.000	-32.15	w7
19	Waveform 1	1	1903.841040712	1903.880811177	0.000	11025.000	0.0398	11025.000		pc8
19	Spectrogram 1	1	1903.841040712	1903.880811177	0.000	11025.000	0.0398	11025.000	-73.81	pc8
20	Waveform 1	1	1904.064367172	1904.122493236	0.000	11025.000	0.0581	11025.000		pc9
20	Spectrogram 1	1	1904.064367172	1904.122493236	0.000	11025.000	0.0581	11025.000	-59.50	pc9
21	Waveform 1	1	1904.128611770	1904.587501756	0.000	11025.000	0.4589	11025.000		w8
21	Spectrogram 1	1	1904.128611770	1904.587501756	0.000	11025.000	0.4589	11025.000	-32.01	w8
22	Waveform 1	1	1916.041394779	1916.084224512	0.000	11025.000	0.0428	11025.000		pc10
22	Spectrogram 1	1	1916.041394779	1916.084224512	0.000	11025.000	0.0428	11025.000	-76.22	pc10
23	Waveform 1	1	1916.301432438	1916.338143637	0.000	11025.000	0.0367	11025.000		pc11
