Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Waveform 1	1	71.416764573	71.464355593	0.000	11025.000	0.0476	11025.000		m
1	Spectrogram 1	1	71.416764573	71.464355593	0.000	11025.000	0.0476	11025.000	-63.92	m
2	Waveform 1	1	71.516273070	71.553047949	0.000	11025.000	0.0368	11025.000		m
2	Spectrogram 1	1	71.516273070	71.553047949	0.000	11025.000	0.0368	11025.000	-68.85	m
3	Waveform 1	1	72.264750021	72.528663859	0.000	11025.000	0.2639	11025.000		sq
3	Spectrogram 1	1	72.264750021	72.528663859	0.000	11025.000	0.2639	11025.000	-62.13	sq
4	Waveform 1	1	74.408509227	74.456100247	0.000	11025.000	0.0476	11025.000		m
4	Spectrogram 1	1	74.408509227	74.456100247	0.000	11025.000	0.0476	11025.000	-70.13	m
5	Waveform 1	1	74.575077797	74.618342360	0.000	11025.000	0.0433	11025.000		m
5	Spectrogram 1	1	74.575077797	74.618342360	0.000	11025.000	0.0433	11025.000	-71.25	m
6	Waveform 1	1	79.055122409	79.247649717	0.000	11025.000	0.1925	11025.000		h
6	Spectrogram 1	1	79.055122409	79.247649717	0.000	11025.000	0.1925	11025.000	-76.68	h
7	Waveform 1	1	84.026220927	84.184136584	0.000	11025.000	0.1579	11025.000		h
7	Spectrogram 1	1	84.026220927	84.184136584	0.000	11025.000	0.1579	11025.000	-74.10	h
8	Waveform 1	1	101.418575976	101.611103284	0.000	11025.000	0.1925	11025.000		h
8	Spectrogram 1	1	101.418575976	101.611103284	0.000	11025.000	0.1925	11025.000	-79.45	h
9	Waveform 1	1	111.652808816	111.828030299	0.000	11025.000	0.1752	11025.000		hu
9	Spectrogram 1	1	111.652808816	111.828030299	0.000	11025.000	0.1752	11025.000	-41.88	hu
10	Waveform 1	1	113.684080157	114.095093511	0.000	11025.000	0.4110	11025.000		w
10	Spectrogram 1	1	113.684080157	114.095093511	0.000	11025.000	0.4110	11025.000	-66.06	w
11	Waveform 1	1	119.959605268	120.333843743	0.000	11025.000	0.3742	11025.000		mo
11	Spectrogram 1	1	119.959605268	120.333843743	0.000	11025.000	0.3742	11025.000	-36.12	mo
12	Waveform 1	1	121.090973685	121.681534979	0.000	11025.000	0.5906	11025.000		mo
12	Spectrogram 1	1	121.090973685	121.681534979	0.000	11025.000	0.5906	11025.000	-56.16	mo
13	Waveform 1	1	122.408379648	122.460297124	0.000	11025.000	0.0519	11025.000		cl
13	Spectrogram 1	1	122.408379648	122.460297124	0.000	11025.000	0.0519	11025.000	-70.87	cl
14	Waveform 1	1	122.616049553	122.650661204	0.000	11025.000	0.0346	11025.000		cl
14	Spectrogram 1	1	122.616049553	122.650661204	0.000	11025.000	0.0346	11025.000	-77.37	cl
15	Waveform 1	1	132.201312830	132.326780065	0.000	11025.000	0.1255	11025.000		b
15	Spectrogram 1	1	132.201312830	132.326780065	0.000	11025.000	0.1255	11025.000	-67.59	b
16	Waveform 1	1	193.461772149	193.505036713	0.000	11025.000	0.0433	11025.000		m
16	Spectrogram 1	1	193.461772149	193.505036713	0.000	11025.000	0.0433	11025.000	-72.18	m
17	Waveform 1	1	193.656462685	193.701890477	0.000	11025.000	0.0454	11025.000		m
17	Spectrogram 1	1	193.656462685	193.701890477	0.000	11025.000	0.0454	11025.000	-74.66	m
18	Waveform 1	1	426.030438699	426.177538215	0.000	11025.000	0.1471	11025.000		h
